Result Number,Satellite,Date,Beam Mode,Polarization,Type,Image Info,Metadata,Download Link,Sequence ID,Footprint
1,RADARSAT-1,2013-03-17T23:17:03 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"5153426" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2013/3/RS1_B0631614_SCWA_20130317_231703_HH_SCW01F.tif,5153426,-87.823118 54.355143 -79.402191 55.271672 -80.573218 60.072406 -90.144086 59.112721 -87.823118 54.355143 
2,RADARSAT-1,2013-03-17T23:15:48 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"5034071" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2013/3/RS1_A0631614_SCWA_20130317_231548_HH_SCW01F.tif,5034071,-86.090344 49.953911 -78.441805 50.855681 -79.528521 55.680471 -88.065250 54.754472 -86.090344 49.953911 
3,RADARSAT-1,2013-03-03T11:58:53 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"5050861" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2013/3/RS1_A0631313_SCWA_20130303_115853_HH_SCW01F.tif,5050861,-79.899669 58.049176 -89.335920 59.011572 -90.240073 55.224747 -81.692086 54.294411 -79.899669 58.049176 
4,RADARSAT-1,2013-03-01T11:17:29 +0000,Standard 6,HH,SGX,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"5050710" "relatedProducts":[{"values":["SGX" "Ice" "8.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2013/3/RS1_M0631200_S6_20130301_111729_HH_SGX.tif,5050710,-78.198528 56.854511 -78.431644 55.950378 -76.707603 55.801139 -76.432756 56.705078 -78.198528 56.854511 
5,RADARSAT-1,2013-01-05T11:20:59 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"5052610" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2013/1/RS1_A0629856_SCWA_20130105_112059_HH_SCW01F.tif,5052610,-70.385669 58.195683 -79.843916 59.158207 -81.007614 54.253356 -72.671076 53.330380 -70.385669 58.195683 
6,RADARSAT-1,2013-01-01T11:37:41 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"5153496" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2013/1/RS1_A0629759_SCWA_20130101_113741_HH_SCW01F.tif,5153496,-74.421403 58.507644 -83.966180 59.473602 -85.131779 54.591846 -76.726573 53.666921 -74.421403 58.507644 
7,RADARSAT-1,2012-12-26T11:12:52 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956989" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_A0629636_SCWA_20121226_111252_HH_SCW01F.tif,4956989,-68.847739 57.134006 -77.960283 58.079153 -79.090946 53.235301 -71.009290 52.323990 -68.847739 57.134006 
8,RADARSAT-1,2012-12-22T11:29:59 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956946" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0629476_SCWA_20121222_112959_HH_SCW01F.tif,4956946,-73.613835 55.942959 -82.436620 56.877465 -83.545012 52.028200 -75.681839 51.122360 -73.613835 55.942959 
9,RADARSAT-1,2012-12-22T11:28:43 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956945" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_B0629476_SCWA_20121222_112843_HH_SCW01F.tif,4956945,-71.351153 60.291723 -81.402981 61.277511 -82.601403 56.454234 -73.813634 55.519013 -71.351153 60.291723 
10,RADARSAT-1,2012-12-21T11:59:06 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4874456" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_D0629471_SCWA_20121221_115906_HH_SCW01F.tif,4874456,-80.602471 56.877301 -89.588063 57.809541 -90.407148 54.313170 -82.177677 53.405885 -80.602471 56.877301 
11,RADARSAT-1,2012-12-21T11:57:50 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956925" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0629471_SCWA_20121221_115750_HH_SCW01F.tif,4956925,-78.188182 61.211591 -88.495997 62.205977 -89.722878 57.381823 -80.754543 56.443520 -78.188182 61.211591 
12,RADARSAT-1,2012-12-19T11:17:32 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956904" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0629205_SCWA_20121219_111732_HH_SCW01F.tif,4956904,-70.707604 55.429416 -79.430261 56.360888 -80.529293 51.501160 -72.740956 50.596233 -70.707604 55.429416 
13,RADARSAT-1,2012-12-19T11:16:17 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956905" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_B0629205_SCWA_20121219_111617_HH_SCW01F.tif,4956905,-68.502450 59.771742 -78.388503 60.749959 -79.574867 55.918017 -70.911364 54.987274 -68.502450 59.771742 
14,RADARSAT-1,2012-12-18T11:46:33 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956879" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0629244_SCWA_20121218_114633_HH_SCW01F.tif,4956879,-77.432118 56.747117 -86.471334 57.690189 -87.593316 52.838136 -79.564910 51.927140 -77.432118 56.747117 
15,RADARSAT-1,2012-12-18T11:45:18 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956878" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_B0629244_SCWA_20121218_114518_HH_SCW01F.tif,4956878,-75.090937 61.077598 -85.403392 62.075245 -86.624352 57.251560 -77.645517 56.309514 -75.090937 61.077598 
16,RADARSAT-1,2012-12-15T11:34:16 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956838" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_C0629242_SCWA_20121215_113416_HH_SCW01F.tif,4956838,-74.759417 55.709461 -83.569041 56.646187 -84.743204 51.465315 -76.940132 50.557666 -74.759417 55.709461 
17,RADARSAT-1,2012-12-15T11:33:00 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4956839" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2012/12/RS1_B0629242_SCWA_20121215_113300_HH_SCW01F.tif,4956839,-72.545769 60.055999 -82.521406 61.038046 -83.714494 56.208438 -74.984358 55.275529 -72.545769 60.055999 
